corte,id_avaluo,numero_finca,provincia,canton,distrito,zona,tipologia,perito_id,perito_activo,nivel_confiabilidad,accion_sugerida,moneda,valor_garantia,saldo,ltv,fecha_valor,dias_antiguedad,saldo_equivalente_crc,reglas_incumplidas,detalle,responsables,prioridad,entra_este_mes
2026-04,AV-2024-000394,1-593321,San José,Santa Ana,Santa Ana,GAM_CENTRO,Bodega o nave industrial,PER-003,SI,REVISAR,Verificación documental,USD,16982878.00,10067124.35,0.5928,2022-10-05,1303,5134233418.5,"R-06, R-08",R-06 La coordenada debe corresponder al distrito declarado: a menos de 4 km del centroide; observado 50.1 km | R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),"Jefe de Garantías, Perito Revisor",150,true
2026-04,AV-2024-000428,N/A,Cartago,Turrialba,Turrialba,CIUDAD_INTERMEDIA,Casa de habitación,PER-004,SI,NO_CONFIABLE,Re-inspección,CRC,459353000.00,,,2024-10-27,550,,R-02,R-02 Los campos obligatorios deben venir informados: campo informado,Coordinación de Calidad,100,true
2026-04,AV-2024-000465,1-324123-383,San José,San José,Carmen,GAM_CENTRO,Apartamento,PER-003,SI,REVISAR,Verificación documental,CRC,374726000.00,59642558.21,0.1592,2024-07-06,663,59642558.21,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 500000.0 y 1600000.0 (GAM_CENTRO, CRC)",Perito Revisor,392,false
2026-04,AV-2024-000471,1-830975,San José,Pérez Zeledón,San Isidro de El General,CIUDAD_INTERMEDIA,Casa de habitación,PER-001,SI,REVISAR,Verificación documental,CRC,235906000.00,109855250.66,0.4657,2024-04-13,747,109855250.66,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,355,false
2026-04,AV-2024-000477,6-883218,Puntarenas,Quepos,Quepos,COSTA,Casa de habitación,PER-003,SI,REVISAR,Verificación documental,CRC,589954000.00,297531080.64,0.5043,2022-03-10,1512,297531080.64,"R-06, R-08",R-06 La coordenada debe corresponder al distrito declarado: coordenada dentro del territorio nacional | R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),"Jefe de Garantías, Perito Revisor",252,false
2026-04,AV-2024-000565,2-166752,Alajuela,San Carlos,Quesada,CIUDAD_INTERMEDIA,Local comercial,PER-002,SI,REVISAR,Verificación documental,CRC,11197329000.00,,,2024-11-27,519,,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 200000.0 y 800000.0 (CIUDAD_INTERMEDIA, CRC)",Perito Revisor,420,false
2026-04,AV-2024-000682,5-820549,Guanacaste,Liberia,Liberia,CIUDAD_INTERMEDIA,Casa de habitación,PER-003,SI,REVISAR,Verificación documental,USD,189373.00,136559.83,0.7211,2023-05-05,1091,69645513.3,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,382,false
2026-04,AV-2024-000693,4-133407-381,Heredia,Santo Domingo,Santo Domingo,GAM_PERIFERIA,Apartamento,PER-009,SI,REVISAR,Verificación documental,USD,246082.00,173822.89,0.7064,2021-09-24,1679,88649673.9,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,373,false
2026-04,AV-2024-000820,2-463929,Alajuela,Alajuela,Alajuela,GAM_CENTRO,Casa de habitación,PER-004,SI,REVISAR,Verificación documental,CRC,1451071000.00,,,2022-06-27,1403,,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,421,false
2026-04,AV-2024-000824,1-485457-134,San José,Tibás,San Juan,GAM_CENTRO,Condominio horizontal,PER-006,SI,REVISAR,Verificación documental,USD,172770.00,,,2021-10-14,1659,,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,422,false
2026-04,AV-2024-000829,1-512586,San José,Goicoechea,Guadalupe,GAM_PERIFERIA,Casa de habitación,PER-007,SI,REVISAR,Verificación documental,CRC,104563000.00,57567560.01,0.5506,2022-03-21,1501,57567560.01,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,394,false
2026-04,AV-2024-000851,4-254662-125,Heredia,Heredia,Heredia,GAM_CENTRO,Apartamento,PER-005,SI,NO_CONFIABLE,Re-inspección,CRC,87724000.00,,,2024-06-18,681,,R-03,R-03 El valor total debe cuadrar con la suma de sus componentes: 93371217.29,Perito Revisor,101,true
2026-04,AV-2024-000859,1-972708,San José,Tibás,San Juan,GAM_CENTRO,Edificio de oficinas,PER-001,SI,NO_CONFIABLE,Re-inspección,USD,26603977.00,13887224.22,0.522,2022-08-14,1355,7082484352.200001,"R-02, R-08",R-02 Los campos obligatorios deben venir informados: campo informado | R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),"Coordinación de Calidad, Jefe de Garantías",3,true
2026-04,AV-2024-000875,N/A,Puntarenas,Garabito,Jacó,COSTA,Terreno baldío urbano,PER-003,SI,NO_CONFIABLE,Re-inspección,CRC,44548000.00,25912883.04,0.5817,2024-12-28,488,25912883.04,R-02,R-02 Los campos obligatorios deben venir informados: campo informado,Coordinación de Calidad,96,true
2026-04,AV-2024-000903,1-435762,San José,Tibás,San Juan,GAM_CENTRO,Casa de habitación,PER-003,SI,REVISAR,Verificación documental,CRC,561303000.00,381972888.74,0.6805,2024-04-08,752,381972888.74,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,224,false
2026-04,AV-2024-000915,4-180961-040,Heredia,Belén,San Antonio,GAM_CENTRO,Apartamento,PER-003,SI,REVISAR,Verificación documental,USD,198306.00,128799.64,0.6495,2022-10-22,1286,65687816.4,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,386,false
2026-04,AV-2024-000922,1-642734,San José,Desamparados,Desamparados,GAM_PERIFERIA,Casa de habitación,PER-004,SI,REVISAR,Verificación documental,CRC,314167000.00,,,2022-05-12,1449,,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,423,false
2026-04,AV-2024-000942,4-487506,Heredia,Sarapiquí,Puerto Viejo,RURAL,Finca agrícola,PER-003,SI,NO_CONFIABLE,Re-inspección,CRC,21999042000.00,2176359777.37,0.0989,2024-11-03,543,2176359777.37,"R-03, R-07","R-03 El valor total debe cuadrar con la suma de sus componentes: 19487869401.52 | R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 1500.0 y 30000.0 (RURAL, CRC)",Perito Revisor,10,true
2026-04,AV-2024-001046,1-857001,San José,Curridabat,Curridabat,GAM_CENTRO,Casa de habitación,PER-003,SI,REVISAR,Verificación documental,CRC,788947000.00,330357246.89,0.4187,2024-04-22,738,330357246.89,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,239,false
2026-04,AV-2024-001054,4-206970,Heredia,Heredia,Heredia,GAM_CENTRO,Bodega o nave industrial,PER-001,SI,REVISAR,Verificación documental,USD,15544701.00,8667255.75,0.5576,2023-12-27,855,4420300432.5,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,152,false
2026-04,AV-2024-001078,5-552439-014,Guanacaste,Carrillo,Sardinal,COSTA,Apartamento,PER-003,SI,NO_CONFIABLE,Re-inspección,USD,439656.00,223414.58,0.5082,2023-04-28,1098,113941435.8,"R-02, R-08",R-02 Los campos obligatorios deben venir informados: campo informado | R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),"Coordinación de Calidad, Jefe de Garantías",55,true
2026-04,AV-2024-001163,7-846928-397,Limón,Talamanca,Cahuita,COSTA,Condominio horizontal,PER-007,SI,NO_CONFIABLE,Re-inspección,CRC,187929000.00,,,2024-09-13,594,,"R-03, R-04",R-03 El valor total debe cuadrar con la suma de sus componentes: 94991707.18 | R-04 La tipología y lo construido deben ser compatibles: ambos mayores a cero: la tipología exige construcción,Perito Revisor,102,true
2026-04,AV-2024-001172,7-235979,Limón,Limón,Limón,CIUDAD_INTERMEDIA,Casa de habitación,PER-007,SI,NO_CONFIABLE,Re-inspección,CRC,331063000.00,190777164.95,0.5763,2022-04-20,1471,190777164.95,"R-02, R-08",R-02 Los campos obligatorios deben venir informados: campo informado | R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),"Coordinación de Calidad, Jefe de Garantías",42,true
2026-04,AV-2024-001209,3-659342,Cartago,Cartago,Oriental,GAM_CENTRO,Edificio de oficinas,PER-003,SI,REVISAR,Verificación documental,CRC,3783399000.00,1799961633.95,0.4758,2021-10-21,1652,1799961633.95,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,176,false
2026-04,AV-2024-001401,4-663522-391,Heredia,San Rafael,San Rafael,GAM_PERIFERIA,Condominio horizontal,PER-007,SI,NO_CONFIABLE,Re-inspección,USD,401142.00,214392.13,0.5345,2024-05-14,716,109339986.3,R-03,R-03 El valor total debe cuadrar con la suma de sus componentes: 479743.33,Perito Revisor,59,true
2026-04,AV-2024-001456,4-718035,Heredia,Heredia,Heredia,GAM_CENTRO,Local comercial,PER-005,SI,REVISAR,Verificación documental,CRC,519171000.00,215065675.70,0.4142,2024-04-21,739,215065675.7,"R-06, R-08",R-06 La coordenada debe corresponder al distrito declarado: a menos de 3 km del centroide; observado 52.6 km | R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),"Jefe de Garantías, Perito Revisor",286,false
2026-04,AV-2024-001538,3-457809-373,Cartago,Cartago,Oriental,GAM_CENTRO,Apartamento,PER-006,SI,REVISAR,Verificación documental,USD,749721.00,513280.16,0.6846,2024-09-11,596,261772881.6,R-06,R-06 La coordenada debe corresponder al distrito declarado: a menos de 3 km del centroide; observado 110.9 km,Perito Revisor,260,false
2026-04,AV-2024-001587,3-567720,Cartago,La Unión,Tres Ríos,GAM_PERIFERIA,Casa de habitación,PER-003,SI,NO_CONFIABLE,Re-inspección,CRC,205826000.00,165161968.79,0.8024,2024-12-29,487,165161968.79,R-03,R-03 El valor total debe cuadrar con la suma de sus componentes: 250718062.51,Perito Revisor,48,true
2026-04,AV-2024-001603,1-634343,San José,Santa Ana,Santa Ana,GAM_CENTRO,Bodega o nave industrial,PER-003,SI,NO_CONFIABLE,Re-inspección,USD,8453252.00,5293150.32,0.6262,2024-07-03,666,2699506663.2000003,"R-03, R-04",R-03 El valor total debe cuadrar con la suma de sus componentes: 5970776.2 | R-04 La tipología y lo construido deben ser compatibles: ambos mayores a cero: la tipología exige construcción,Perito Revisor,8,true
2026-04,AV-2024-001645,4-927315-009,Heredia,Santo Domingo,Santo Domingo,GAM_PERIFERIA,Condominio horizontal,PER-008,SI,REVISAR,Verificación documental,USD,486092.00,307348.03,0.6323,2024-05-28,702,156747495.3,R-06,R-06 La coordenada debe corresponder al distrito declarado: a menos de 3 km del centroide; observado 97.9 km,Perito Revisor,316,false
2026-04,AV-2024-001722,1-405848,San José,Curridabat,Curridabat,GAM_CENTRO,Casa de habitación,PER-006,SI,REVISAR,Verificación documental,CRC,2493435000.00,356496267.36,0.143,2024-07-06,663,356496267.36,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 400000.0 y 1350000.0 (GAM_CENTRO, CRC)",Perito Revisor,230,false
2026-04,AV-2024-001788, ,Heredia,Heredia,Heredia,GAM_CENTRO,Casa de habitación,PER-001,SI,NO_CONFIABLE,Re-inspección,CRC,218655000.00,,,2024-08-10,628,,R-02,R-02 Los campos obligatorios deben venir informados: campo informado,Coordinación de Calidad,103,true
2026-04,AV-2024-001842,1-251481,San José,Goicoechea,Guadalupe,GAM_PERIFERIA,Local comercial,PER-003,SI,REVISAR,Verificación documental,CRC,8328497000.00,1304982417.97,0.1567,2024-05-09,721,1304982417.97,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 250000.0 y 900000.0 (GAM_PERIFERIA, CRC)",Perito Revisor,181,false
2026-04,AV-2024-001858,4-929619,Heredia,Santo Domingo,Santo Domingo,GAM_PERIFERIA,Casa de habitación,PER-004,SI,REVISAR,Verificación documental,CRC,383321000.00,297469302.73,0.776,2023-06-18,1047,297469302.73,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,253,false
2026-04,AV-2024-001867,6-751177-347,Puntarenas,Garabito,Jacó,COSTA,Apartamento,PER-002,SI,REVISAR,Verificación documental,USD,620714.00,401446.08,0.6467,2024-04-20,740,204737500.8,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,293,false
2026-04,AV-2024-001892,5-296339,Guanacaste,Santa Cruz,Tamarindo,COSTA,Casa de habitación,PER-001,SI,NO_CONFIABLE,Re-inspección,CRC,363160000.00,284212468.57,0.7826,2024-11-20,526,284212468.57,R-03,R-03 El valor total debe cuadrar con la suma de sus componentes: 405669332.18,Perito Revisor,35,true
2026-04,AV-2024-001901,1-752201-388,San José,Montes de Oca,San Pedro,GAM_CENTRO,Apartamento,PER-001,SI,REVISAR,Verificación documental,USD,420243.00,183737.97,0.4372,2022-05-25,1436,93706364.7,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,370,false
2026-04,AV-2024-001931,3-447521,Cartago,La Unión,Tres Ríos,GAM_PERIFERIA,Local comercial,PER-005,SI,NO_CONFIABLE,Re-inspección,CRC,667312000.00,291539835.11,0.4369,2024-05-13,717,291539835.11,R-02,R-02 Los campos obligatorios deben venir informados: campo informado,Coordinación de Calidad,32,true
2026-04,AV-2024-001987,1-106760,San José,San José,Carmen,GAM_CENTRO,Local comercial,PER-001,SI,REVISAR,Verificación documental,CRC,2317249000.00,,,2024-11-26,520,,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 350000.0 y 1400000.0 (GAM_CENTRO, CRC)",Perito Revisor,424,false
2026-04,AV-2024-002041,1-796626-027,San José,Escazú,Escazú,GAM_CENTRO,Condominio horizontal,PER-007,SI,NO_CONFIABLE,Re-inspección,USD,495176.00,269083.32,0.5434,2024-08-09,629,137232493.20000002,"R-03, R-04",R-03 El valor total debe cuadrar con la suma de sus componentes: 353638.5 | R-04 La tipología y lo construido deben ser compatibles: ambos mayores a cero: la tipología exige construcción,Perito Revisor,51,true
2026-04,AV-2024-002074,5-937861,Guanacaste,Carrillo,Sardinal,COSTA,Terreno baldío rural,PER-009,SI,NO_CONFIABLE,Re-inspección,USD,15997680.00,5778416.80,0.3612,2024-08-07,631,2946992568.0,R-03,R-03 El valor total debe cuadrar con la suma de sus componentes: 13540599.68,Perito Revisor,5,true
2026-04,AV-2024-002207,5-899894,Guanacaste,Nicoya,Nicoya,CIUDAD_INTERMEDIA,Local comercial,PER-003,SI,NO_CONFIABLE,Re-inspección,CRC,246883000.00,171836218.44,0.696,2024-11-10,536,171836218.44,R-05,R-05 Las fechas deben tener orden lógico: inspección <= valor <= informe,Coordinación de Calidad,47,true
2026-04,AV-2024-002233,2-511911,Alajuela,Atenas,Atenas,RURAL,Terreno baldío urbano,PER-004,SI,REVISAR,Verificación documental,CRC,18741000.00,8551831.90,0.4563,2024-11-13,533,8551831.9,R-06,R-06 La coordenada debe corresponder al distrito declarado: a menos de 8 km del centroide; observado 93.4 km,Perito Revisor,418,false
2026-04,AV-2024-002243,1-262047,San José,Goicoechea,Guadalupe,GAM_PERIFERIA,Casa de habitación,PER-009,SI,REVISAR,Verificación documental,USD,603671.00,462868.53,0.7668,2023-07-31,1004,236062950.3,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,277,false
2026-04,AV-2024-002305,1-526160,San José,San José,Carmen,GAM_CENTRO,Casa de habitación,PER-009,SI,REVISAR,Verificación documental,CRC,1510352000.00,259183139.11,0.1716,2024-10-16,561,259183139.11,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 400000.0 y 1350000.0 (GAM_CENTRO, CRC)",Perito Revisor,261,false
2026-04,AV-2024-002314,1-719867-030,San José,Escazú,Escazú,GAM_CENTRO,Condominio horizontal,PER-006,SI,REVISAR,Verificación documental,USD,257969.00,195668.40,0.7585,2024-08-06,632,99790884.0,R-06,R-06 La coordenada debe corresponder al distrito declarado: a menos de 4 km del centroide; observado 49.7 km,Perito Revisor,366,false
2026-04,AV-2024-002331,1-355950,San José,Montes de Oca,San Pedro,GAM_CENTRO,Casa de habitación,PER-009,SI,REVISAR,Verificación documental,CRC,889131000.00,680397408.45,0.7652,2024-04-22,738,680397408.45,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,202,false
2026-04,AV-2024-002335,4-925160,Heredia,San Rafael,San Rafael,GAM_PERIFERIA,Terreno baldío urbano,PER-007,SI,NO_CONFIABLE,Re-inspección,CRC,275663000.00,,,2024-10-26,551,,"R-03, R-06",R-03 El valor total debe cuadrar con la suma de sus componentes: 263768581.84 | R-06 La coordenada debe corresponder al distrito declarado: coordenada dentro del territorio nacional,Perito Revisor,104,true
2026-04,AV-2024-002337,1-389737,San José,Goicoechea,Guadalupe,GAM_PERIFERIA,Bodega o nave industrial,PER-003,SI,NO_CONFIABLE,Re-inspección,USD,1111466.00,,,2021-09-08,1695,,"R-01, R-08",R-01 No pueden existir dos avalúos con el mismo identificador: único dentro del corte | R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),"Coordinación de Calidad, Jefe de Garantías",105,true
2026-04,AV-2024-002337,2-684252,Alajuela,Grecia,Grecia,CIUDAD_INTERMEDIA,Local comercial,PER-008,SI,NO_CONFIABLE,Re-inspección,CRC,1519298000.00,,,2023-03-23,1134,,"R-01, R-08",R-01 No pueden existir dos avalúos con el mismo identificador: único dentro del corte | R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),"Coordinación de Calidad, Jefe de Garantías",106,true
2026-04,AV-2024-002518,1-752374,San José,Desamparados,Desamparados,GAM_PERIFERIA,Local comercial,PER-007,SI,REVISAR,Verificación documental,CRC,2252504000.00,467703678.67,0.2076,2024-09-23,584,467703678.67,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 250000.0 y 900000.0 (GAM_PERIFERIA, CRC)",Perito Revisor,212,false
2026-04,AV-2024-002577,4-752667,Heredia,Belén,San Antonio,GAM_CENTRO,Local comercial,PER-001,SI,REVISAR,Verificación documental,CRC,2446747000.00,1624119518.85,0.6638,2024-04-23,737,1624119518.85,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,179,false
2026-04,AV-2024-002622,1-874406,San José,Pérez Zeledón,San Isidro de El General,CIUDAD_INTERMEDIA,Terreno baldío rural,PER-009,SI,REVISAR,Verificación documental,CRC,4026766000.00,1993594414.47,0.4951,2024-11-20,526,1993594414.47,R-06,R-06 La coordenada debe corresponder al distrito declarado: a menos de 12 km del centroide; observado 38.0 km,Perito Revisor,172,false
2026-04,AV-2024-002624,2-428010,Alajuela,Grecia,Grecia,CIUDAD_INTERMEDIA,Finca agrícola,PER-001,SI,REVISAR,Verificación documental,CRC,11854460000.00,,,2021-08-17,1717,,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,425,false
2026-04,AV-2024-002747,4-568381,Heredia,Heredia,Heredia,GAM_CENTRO,Casa de habitación,PER-004,SI,REVISAR,Verificación documental,CRC,569468000.00,316911279.47,0.5565,2024-11-27,519,316911279.47,R-06,R-06 La coordenada debe corresponder al distrito declarado: coordenada dentro del territorio nacional,Perito Revisor,240,false
2026-04,AV-2024-002802,5-269021-004,Guanacaste,Carrillo,Sardinal,COSTA,Condominio horizontal,PER-008,SI,NO_CONFIABLE,Re-inspección,CRC,100072000.00,,,2024-09-09,598,,"R-04, R-06",R-04 La tipología y lo construido deben ser compatibles: ambos mayores a cero: la tipología exige construcción | R-06 La coordenada debe corresponder al distrito declarado: a menos de 10 km del centroide; observado 50.2 km,Perito Revisor,107,true
2026-04,AV-2024-002810,7-667603,Limón,Pococí,Guápiles,CIUDAD_INTERMEDIA,Finca agrícola,PER-004,SI,REVISAR,Verificación documental,CRC,10239726000.00,6567296789.90,0.6414,2024-04-12,748,6567296789.9,R-08,R-08 El avalúo no debe superar la vigencia de política: no anterior a 2024-04-30 (24 meses),Jefe de Garantías,149,true
2026-04,AV-2024-002816,3-910235,Cartago,La Unión,Tres Ríos,GAM_PERIFERIA,Casa de habitación,PER-007,SI,REVISAR,Verificación documental,CRC,64444000.00,110548602.98,1.7154,2024-07-11,658,110548602.98,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 250000.0 y 950000.0 (GAM_PERIFERIA, CRC)",Perito Revisor,354,false
2026-04,AV-2024-002829,7-868010,Limón,Pococí,Guápiles,CIUDAD_INTERMEDIA,Local comercial,PER-009,SI,REVISAR,Verificación documental,USD,2314189.00,1235499.41,0.5339,2024-11-23,523,630104699.0999999,R-06,R-06 La coordenada debe corresponder al distrito declarado: coordenada dentro del territorio nacional,Perito Revisor,204,false
2026-04,AV-2024-002839,1-806762-080,San José,Tibás,San Juan,GAM_CENTRO,Apartamento,PER-004,SI,REVISAR,Verificación documental,CRC,297971000.00,54490947.36,0.1829,2024-11-17,529,54490947.36,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 500000.0 y 1600000.0 (GAM_CENTRO, CRC)",Perito Revisor,396,false
2026-04,AV-2024-002855,6-679919-255,Puntarenas,Garabito,Jacó,COSTA,Condominio horizontal,No informado,NO,NO_CONFIABLE,Re-inspección,USD,253241.00,167885.64,0.6629,2024-11-07,539,85621676.4,R-02,R-02 Los campos obligatorios deben venir informados: campo informado,Coordinación de Calidad,73,true
2026-04,AV-2024-002881,2-132643,Alajuela,Atenas,Atenas,RURAL,Casa de habitación,PER-007,SI,REVISAR,Verificación documental,CRC,304737000.00,,,2024-11-23,523,,"R-06, R-07","R-06 La coordenada debe corresponder al distrito declarado: a menos de 8 km del centroide; observado 80.5 km | R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 150000.0 y 550000.0 (RURAL, CRC)",Perito Revisor,426,false
2026-04,AV-2024-002891,7-976598,Limón,Talamanca,Cahuita,COSTA,Terreno baldío rural,PER-009,SI,NO_CONFIABLE,Re-inspección,CRC,6464924000.00,2882658386.41,0.4459,2024-09-04,603,2882658386.41,R-04,R-04 La tipología y lo construido deben ser compatibles: ambos en cero: la tipología no contempla construcción,Perito Revisor,6,true
2026-04,AV-2024-002909,1-332379,San José,Montes de Oca,San Pedro,GAM_CENTRO,Casa de habitación,PER-008,SI,REVISAR,Verificación documental,CRC,93417000.00,145620388.59,1.5588,2024-08-03,635,145620388.59,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 400000.0 y 1350000.0 (GAM_CENTRO, CRC)",Perito Revisor,324,false
2026-04,AV-2024-002957,6-356475,Puntarenas,Puntarenas,Puntarenas,CIUDAD_INTERMEDIA,Terreno baldío urbano,PER-006,SI,REVISAR,Verificación documental,CRC,394022000.00,53256276.05,0.1352,2024-11-11,535,53256276.05,R-07,"R-07 El valor por m² de terreno debe estar dentro del rango de la zona: entre 35000.0 y 180000.0 (CIUDAD_INTERMEDIA, CRC)",Perito Revisor,397,false
